,phylum
Bacteria_Acidobacteria_Holophagae_Acanthopleuribacterales,Acidobacteria
Bacteria_Acidobacteria_Thermoanaerobaculia_Thermoanaerobaculales,Acidobacteria
Bacteria_Bacteroidetes_Bacteroidia_Chitinophagales,Bacteroidetes
Bacteria_Bacteroidetes_Bacteroidia_Cytophagales,Bacteroidetes
Bacteria_Bacteroidetes_Bacteroidia_Flavobacteriales,Bacteroidetes
Bacteria_Cyanobacteria_Oxyphotobacteria_Eurycoccales,Cyanobacteria
Bacteria_Cyanobacteria_Oxyphotobacteria_Limnotrichales,Cyanobacteria
Bacteria_Cyanobacteria_Oxyphotobacteria_Nostocales,Cyanobacteria
Bacteria_Cyanobacteria_Oxyphotobacteria_Phormidesmiales,Cyanobacteria
Bacteria_Cyanobacteria_Oxyphotobacteria_Synechococcales,Cyanobacteria
Bacteria_Planctomycetes_OM190_unclassified,Planctomycetes
Bacteria_Planctomycetes_Phycisphaerae_Phycisphaerales,Planctomycetes
Bacteria_Planctomycetes_Planctomycetacia_Pirellulales,Planctomycetes
Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales,Alphaproteobacteria
Bacteria_Proteobacteria_Alphaproteobacteria_Kordiimonadales,Alphaproteobacteria
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales,Alphaproteobacteria
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales,Alphaproteobacteria
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales,Alphaproteobacteria
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodovibrionales,Alphaproteobacteria
Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales,Alphaproteobacteria
Bacteria_Proteobacteria_Alphaproteobacteria_Thalassobaculales,Alphaproteobacteria
Bacteria_Proteobacteria_Alphaproteobacteria_unclassified,Alphaproteobacteria
Bacteria_Proteobacteria_Deltaproteobacteria_Myxococcales,Deltaproteobacteria
Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales,Gammaproteobacteria
Bacteria_Proteobacteria_Gammaproteobacteria_Arenicellales,Gammaproteobacteria
Bacteria_Proteobacteria_Gammaproteobacteria_Cellvibrionales,Gammaproteobacteria
Bacteria_Proteobacteria_Gammaproteobacteria_KI89A clade,Gammaproteobacteria
Bacteria_Proteobacteria_Gammaproteobacteria_Oceanospirillales,Gammaproteobacteria
Bacteria_Proteobacteria_Gammaproteobacteria_Steroidobacterales,Gammaproteobacteria
Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales,Gammaproteobacteria
Bacteria_Proteobacteria_Gammaproteobacteria_unclassified,Gammaproteobacteria
Bacteria_Verrucomicrobia_Verrucomicrobiae_Methylacidiphilales,Verrucomicrobia
Bacteria_Verrucomicrobia_Verrucomicrobiae_Opitutales,Verrucomicrobia
Bacteria_Verrucomicrobia_Verrucomicrobiae_Verrucomicrobiales,Verrucomicrobia
